"","dag","measurement","combining","analysis","qualFn","caliper","key","truth","mean","bias","var","mse","lb","ub","bias_lb","bias_ub","percBias","propNA","propSimFail","mean_n","sd_n","min_n","max_n"
"1","dag_bat","measM","probMatch","V","matchQualityFn_noConf",0.1,"dag_bat_measM_probMatch_V_matchQualityFn_noConf_1e-01",0.3002,0.174429313127205,-0.125770686872795,0.00277940339832603,0.0185976690747808,0.129834643548434,0.252558506367254,-0.170365356451566,-0.0476414936327457,-41.8956318696853,0,0,1000,0,1000,1000
"2","dag_bat","measM","probMatch","V","matchQualityFn_noConf",0.01,"dag_bat_measM_probMatch_V_matchQualityFn_noConf_1e-02",0.3002,0.174429313127205,-0.125770686872795,0.00277940339832603,0.0185976690747808,0.129834643548434,0.252558506367254,-0.170365356451566,-0.0476414936327457,-41.8956318696853,0,0,1000,0,1000,1000
"3","dag_bat","measM","probMatch","V","matchQualityFn_noConf",0.001,"dag_bat_measM_probMatch_V_matchQualityFn_noConf_1e-03",0.3002,0.174429313127205,-0.125770686872795,0.00277940339832603,0.0185976690747808,0.129834643548434,0.252558506367254,-0.170365356451566,-0.0476414936327457,-41.8956318696853,0,0,1000,0,1000,1000
"4","dag_bat","measM","probMatch","V","matchQualityFn_noConf",1e-04,"dag_bat_measM_probMatch_V_matchQualityFn_noConf_1e-04",0.3002,0.168904232288928,-0.131295767711072,0.00292002914036546,0.0201586077592053,0.125304164348919,0.2492497303859,-0.174895835651081,-0.0509502696141002,-43.7360985046877,0,0,996.4,1.14017542509914,995,998
"5","dag_bat","measM","probMatch","V","matchQualityFn_noConf",1e-05,"dag_bat_measM_probMatch_V_matchQualityFn_noConf_1e-05",0.3002,0.16599913657487,-0.13420086342513,0.00309712769645395,0.0211069994405043,0.120259097796661,0.246845342282542,-0.179940902203339,-0.0533546577174575,-44.7038185959793,0,0,988.8,3.11448230047949,986,993
"6","dag_bat_ixn","measM","probMatch","V","matchQualityFn_noConf",0.1,"dag_bat_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-01",0.299108211976326,0.164141855453528,-0.134966356522797,0.00201842059557754,0.0202343379886164,0.0990505384013144,0.210589342576697,-0.200057673575011,-0.0885188693996284,-45.1229191037657,0,0,1000,0,1000,1000
"7","dag_bat_ixn","measM","probMatch","V","matchQualityFn_noConf",0.01,"dag_bat_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-02",0.299108211976326,0.163466468302952,-0.135641743673373,0.00199073692395087,0.020389419550704,0.0990505384013144,0.210251649001409,-0.200057673575011,-0.0888565629749163,-45.3487193738797,0,0,999.8,0.447213595499958,999,1000
"8","dag_bat_ixn","measM","probMatch","V","matchQualityFn_noConf",0.001,"dag_bat_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-03",0.299108211976326,0.159764706227026,-0.1393435057493,0.00224650136426601,0.0216631139587712,0.0914458359774411,0.210087501492132,-0.207662375998885,-0.0890207104841942,-46.5863189875672,0,0,998.2,2.04939015319192,995,1000
"9","dag_bat_ixn","measM","probMatch","V","matchQualityFn_noConf",1e-04,"dag_bat_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-04",0.299108211976326,0.157043247403371,-0.142064964572955,0.00220986216589943,0.0223923163250145,0.0911155239153717,0.210084041652366,-0.207992688060954,-0.0890241703239593,-47.4961765958467,0,0,996.4,3.286335345031,991,999
"10","dag_bat_ixn","measM","probMatch","V","matchQualityFn_noConf",1e-05,"dag_bat_ixn_measM_probMatch_V_matchQualityFn_noConf_1e-05",0.299108211976326,0.152423674595747,-0.146684537380579,0.00217879845784046,0.0236951519643949,0.0863347746899726,0.20404615853937,-0.212773437286353,-0.0950620534369555,-49.0406252678174,0,0,985.6,4.77493455452533,979,991
