"","dag","measurement","combining","analysis","qualFn","caliper","key","truth","mean","bias","var","mse","lb","ub","bias_lb","bias_ub","percBias","propNA","propSimFail","mean_n","sd_n","min_n","max_n"
"1","dag_bat","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.1,"dag_bat_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-01",0.3002,0.258063392968454,-0.0421366070315455,0.00163147400753585,0.00340696765966674,0.204456054884369,0.293551218806678,-0.0957439451156313,-0.00664878119332174,-14.0361782250318,0,0,1000,0,1000,1000
"2","dag_bat","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.01,"dag_bat_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-02",0.3002,0.255279937675415,-0.0449200623245851,0.0015136641902361,0.00353147618948071,0.202302802181034,0.284797974735904,-0.0978971978189659,-0.0154020252640956,-14.9633785225134,0,0,998.4,1.67332005306815,996,1000
"3","dag_bat","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.001,"dag_bat_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-03",0.3002,0.243699715391153,-0.0565002846088467,0.00146559006084244,0.00465787222172312,0.199009190264336,0.279454568011562,-0.101190809735664,-0.0207454319884375,-18.8208809489829,0,0,978.6,4.50555213042752,975,986
"4","dag_bat","measMM2","probMatch","V","matchQualityFn_noConf_M2",1e-04,"dag_bat_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-04",0.3002,0.203658857175766,-0.0965411428242336,0.00111355687494336,0.0104337491327524,0.159851797940431,0.244608395380046,-0.140348202059569,-0.0555916046199542,-32.1589416469799,0,0,781,14.5258390463339,760,798
"5","dag_bat","measMM2","probMatch","V","matchQualityFn_noConf_M2",1e-05,"dag_bat_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-05",0.3002,0.168297102698501,-0.131902897301499,0.00322329921588223,0.0206216735324121,0.0969896502998767,0.241135420051106,-0.203210349700123,-0.0590645799488935,-43.9383402070285,0,0,200.6,14.5189531303052,185,218
"6","dag_bat_ixn","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.1,"dag_bat_ixn_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-01",0.299116378997285,0.276881851392016,-0.0222345276052684,0.000534502382019472,0.00102887659984891,0.249463608161717,0.303270746643619,-0.0496527708355678,0.00415436764633431,-7.43340357348678,0,0,1000,0,1000,1000
"7","dag_bat_ixn","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.01,"dag_bat_ixn_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-02",0.299116378997285,0.275288454917971,-0.0238279240793132,0.000543486411394678,0.00111125637732419,0.248953751303285,0.301814619844088,-0.0501626276939995,0.00269824084680326,-7.96610475133141,0,0,999.2,0.836660026534076,998,1000
"8","dag_bat_ixn","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.001,"dag_bat_ixn_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-03",0.299116378997285,0.26242089177152,-0.0366954872257645,0.000679113348355876,0.00202567213109212,0.237905964898661,0.291078646309357,-0.0612104140986238,-0.00803773268792801,-12.2679631749947,0,0,979.4,7.23187389270582,972,989
"9","dag_bat_ixn","measMM2","probMatch","V","matchQualityFn_noConf_M2",1e-04,"dag_bat_ixn_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-04",0.299116378997285,0.210387687323028,-0.0887286916742567,0.00251499760181669,0.010387778328042,0.143458801185329,0.271605215505557,-0.155657577811955,-0.0275111634917275,-29.663601830063,0,0,777.4,7.70064932327138,771,790
"10","dag_bat_ixn","measMM2","probMatch","V","matchQualityFn_noConf_M2",1e-05,"dag_bat_ixn_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-05",0.299116378997285,0.123774641220837,-0.175341737776447,0.0182303280170294,0.0489750530234939,-0.0754359325519149,0.257028939138061,-0.374552311549199,-0.042087439859224,-58.6199051901598,0,0,199.2,9.85900603509299,187,211
"11","dag_bird","measMM2","probMatch","V","matchQualityFn_noConf_M2",0.1,"dag_bird_measMM2_probMatch_V_matchQualityFn_noConf_M2_1e-01",0.3002,0.274649774938077,-0.0255502250619228,0.00179722809270866,0.00245004209342357,0.229965234431994,0.333351422830846,-0.0702347655680065,0.0331514228308463,-8.51106764221278,0,0,1000,0,1000,1000
