"","dag","measurement","combining","analysis","qualFn","caliper","key","truth","mean","bias","var","mse","lb","ub","bias_lb","bias_ub","percBias","propNA","propSimFail","mean_n","sd_n","min_n","max_n"
"1","dag_dromedary_strongconf","measCM_both","probMatch","V","matchQualityFn_conf",0.1,"dag_dromedary_strongconf_measCM_both_probMatch_V_matchQualityFn_conf_1e-01",0.3,0.544078165136582,0.244078165136582,0.00211834012414606,0.0616924908205868,0.477536157889517,0.591858843181094,0.177536157889517,0.291858843181094,81.3593883788608,0,0,1000,0,1000,1000
"2","dag_dromedary_strongconf","measCM_both","probMatch","V","matchQualityFn_conf",0.01,"dag_dromedary_strongconf_measCM_both_probMatch_V_matchQualityFn_conf_1e-02",0.3,0.544078165136582,0.244078165136582,0.00211834012414606,0.0616924908205868,0.477536157889517,0.591858843181094,0.177536157889517,0.291858843181094,81.3593883788608,0,0,1000,0,1000,1000
"3","dag_dromedary_strongconf","measCM_both","probMatch","V","matchQualityFn_conf",0.001,"dag_dromedary_strongconf_measCM_both_probMatch_V_matchQualityFn_conf_1e-03",0.3,0.538974239090273,0.238974239090273,0.00200407730666146,0.0591127642554364,0.475122400532438,0.587233104692703,0.175122400532438,0.287233104692703,79.6580796967576,0,0,996.4,1.51657508881031,995,999
"4","dag_dromedary_strongconf","measCM_both","probMatch","V","matchQualityFn_conf",1e-04,"dag_dromedary_strongconf_measCM_both_probMatch_V_matchQualityFn_conf_1e-04",0.3,0.506727873416372,0.206727873416372,0.00242963024552848,0.0451660438927839,0.439173988211846,0.563278156695574,0.139173988211846,0.263278156695574,68.9092911387906,0,0,942.6,9.60728889958036,932,953
"5","dag_dromedary_strongconf","measCM_both","probMatch","V","matchQualityFn_conf",1e-05,"dag_dromedary_strongconf_measCM_both_probMatch_V_matchQualityFn_conf_1e-05",0.3,0.419485473081135,0.119485473081135,0.00461124502737825,0.018888023304801,0.325995972282743,0.490129370893579,0.0259959722827426,0.190129370893579,39.8284910270451,0,0,519,5.1478150704935,511,524
"6","dag_dromedary_strongconf","measCM_both","probMatch","VC","matchQualityFn_conf",0.1,"dag_dromedary_strongconf_measCM_both_probMatch_VC_matchQualityFn_conf_1e-01",0.3,0.258402534852011,-0.0415974651479889,0.00318946961956956,0.00491981872630771,0.189922999692224,0.312380193410479,-0.110077000307776,0.0123801934104787,-13.8658217159963,0,0,1000,0,1000,1000
"7","dag_dromedary_strongconf","measCM_both","probMatch","VC","matchQualityFn_conf",0.01,"dag_dromedary_strongconf_measCM_both_probMatch_VC_matchQualityFn_conf_1e-02",0.3,0.258402534852011,-0.0415974651479889,0.00318946961956956,0.00491981872630771,0.189922999692224,0.312380193410479,-0.110077000307776,0.0123801934104787,-13.8658217159963,0,0,1000,0,1000,1000
"8","dag_dromedary_strongconf","measCM_both","probMatch","VC","matchQualityFn_conf",0.001,"dag_dromedary_strongconf_measCM_both_probMatch_VC_matchQualityFn_conf_1e-03",0.3,0.255628574857622,-0.044371425142378,0.00315082896070305,0.0051196523298687,0.189492525984492,0.307527513962546,-0.110507474015508,0.0075275139625462,-14.7904750474593,0,0,996.4,1.51657508881031,995,999
"9","dag_dromedary_strongconf","measCM_both","probMatch","VC","matchQualityFn_conf",1e-04,"dag_dromedary_strongconf_measCM_both_probMatch_VC_matchQualityFn_conf_1e-04",0.3,0.244536722322509,-0.0554632776774912,0.00278015086047669,0.00585632603120718,0.174727886595006,0.294969951233366,-0.125272113404994,-0.00503004876663421,-18.4877592258304,0,0,942.6,9.60728889958036,932,953
"10","dag_dromedary_strongconf","measCM_both","probMatch","VC","matchQualityFn_conf",1e-05,"dag_dromedary_strongconf_measCM_both_probMatch_VC_matchQualityFn_conf_1e-05",0.3,0.168749682828962,-0.131250317171038,0.00226076562310229,0.0194874113806003,0.101211689190141,0.218869034385206,-0.198788310809859,-0.081130965614794,-43.7501057236793,0,0,519,5.1478150704935,511,524
